Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3004396,2018-11-29 11:13:35,0,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.270282950154,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.531,118567.215304481,192659.976617282,26.25,55.3,FALSE
3004399,2018-11-29 11:13:36,0.0252316766666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.254124724869,μmol/L,26.4837329194056,°C,1013,hPa,Humid,36,0,0,21.534,118554.170014482,192634.385898628,26.25,55.3,FALSE
3004400,2018-11-29 11:13:37,0.0412470033333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.339014159083,μmol/L,26.4776360863698,°C,1013,hPa,Humid,36,0,0,21.531,118529.623097901,192610.736192788,26.25,55.3,FALSE
3004404,2018-11-29 11:13:38,0.0580669616666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.321491067154,μmol/L,26.4837329194056,°C,1013,hPa,Humid,36,0,0,21.53,118519.653831087,192597.646099067,26.25,55.3,FALSE
3004406,2018-11-29 11:13:39,0.0750225983333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.304646716147,μmol/L,26.4837329194056,°C,1013,hPa,Humid,36,0,0,21.531,118515.399541613,192586.150254167,26.25,55.3,FALSE
3004409,2018-11-29 11:13:40,0.0919072366666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.254124724869,μmol/L,26.4837329194056,°C,1013,hPa,Humid,36,0,0,21.534,118507.556708534,192582.297288438,26.25,55.3,FALSE
3004415,2018-11-29 11:13:41,0.107938855,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.270282950154,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.531,118498.463623503,192559.253383378,26.25,55.3,FALSE
3004418,2018-11-29 11:13:42,0.124715906666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.253443442434,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.532,118496.496101142,192569.916567853,26.25,55.3,FALSE
3004423,2018-11-29 11:13:43,0.141665288333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.320812535292,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.528,118487.644332006,192566.937069055,26.25,55.3,FALSE
3004430,2018-11-29 11:13:44,0.158494126666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.270963545279,μmol/L,26.4837329194056,°C,1013,hPa,Humid,36,0,0,21.533,118486.070690033,192564.496454028,26.25,55.3,FALSE
3004433,2018-11-29 11:13:45,0.174917591666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.321491067154,μmol/L,26.4837329194056,°C,1013,hPa,Humid,36,0,0,21.53,118492.43214169,192558.138172473,26.25,55.3,FALSE
3004438,2018-11-29 11:13:46,0.19179101,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.287124301354,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.53,118485.948640685,192560.763952967,26.25,55.3,FALSE
3004442,2018-11-29 11:13:47,0.208097036666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.253443442434,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.532,118483.293271855,192564.59830862,26.25,55.3,FALSE
3004448,2018-11-29 11:13:48,0.224977243333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.270963545279,μmol/L,26.4837329194056,°C,1013,hPa,Humid,36,0,0,21.533,118484.744593059,192571.73305708,26.25,55.3,FALSE
3004457,2018-11-29 11:13:49,0.24183885,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.270282950154,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.531,118483.4909387,192564.356958336,26.25,55.3,FALSE
3004462,2018-11-29 11:13:50,0.257886943333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.287124301354,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.53,118475.059595274,192564.084024605,26.25,55.3,FALSE
3004471,2018-11-29 11:13:51,0.274747995,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.287804208947,μmol/L,26.4837329194056,°C,1013,hPa,Humid,36,0,0,21.532,118476.111404539,192565.926856247,26.25,55.3,FALSE
3004480,2018-11-29 11:13:52,0.29161281,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.321491067154,μmol/L,26.4837329194056,°C,1013,hPa,Humid,36,0,0,21.53,118480.825341,192570.643809738,26.25,55.3,FALSE
3004492,2018-11-29 11:13:53,0.3080972,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.303967496309,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.529,118348.06783173,192566.159452679,26.25,55.3,FALSE
3004500,2018-11-29 11:13:54,0.324995846666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.235922857594,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.531,118475.295057577,192563.213810422,26.25,55.3,FALSE
3004505,2018-11-29 11:13:55,0.342211428333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.253443442434,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.532,118509.081097345,192571.243095949,26.25,55.3,FALSE
3004514,2018-11-29 11:13:56,0.358354723333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.270963545279,μmol/L,26.4837329194056,°C,1013,hPa,Humid,36,0,0,21.533,118504.835696283,192556.60532775,26.25,55.3,FALSE
3004524,2018-11-29 11:13:57,0.375185971666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.236605777919,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.533,118476.214560237,192561.850784613,26.25,55.3,FALSE
3004529,2018-11-29 11:13:58,0.39120362,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.304646716147,μmol/L,26.4837329194056,°C,1013,hPa,Humid,36,0,0,21.531,118500.59843748,192562.061509195,26.25,55.3,FALSE
3004545,2018-11-29 11:13:59,0.40819899,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.219086349038,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.532,118491.756715427,192559.23022328,26.25,55.3,FALSE
3004554,2018-11-29 11:14:00,0.42505955,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.202935977408,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.535,118502.621625138,192557.958665765,26.25,55.3,FALSE
3004564,2018-11-29 11:14:01,0.441948833333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.270282950154,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.531,118491.848489127,192560.205306866,26.25,55.3,FALSE
3004572,2018-11-29 11:14:02,0.458375698333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.201566434966,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.531,118502.787447089,192552.052105912,26.25,55.3,FALSE
3004580,2018-11-29 11:14:03,0.474786125,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.252761209303,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.53,118492.894069796,192554.099285688,26.25,55.3,FALSE
3004588,2018-11-29 11:14:04,0.491429785,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.235922857594,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.531,118482.925371892,192556.963906215,26.25,55.3,FALSE
3004596,2018-11-29 11:14:05,0.508188876666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.219086349038,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.532,118488.311205232,192551.176651687,26.25,55.3,FALSE
3004605,2018-11-29 11:14:06,0.524581363333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.20225168336,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.533,118480.26445171,192551.057467135,26.25,55.3,FALSE
3004612,2018-11-29 11:14:07,0.541456366666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.202935977408,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.535,118487.403823441,192553.376491966,26.25,55.3,FALSE
3004623,2018-11-29 11:14:08,0.558481011666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.20225168336,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.533,118481.107418277,192557.106496268,26.25,55.3,FALSE
3004631,2018-11-29 11:14:09,0.574852666666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.185418860287,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.534,118483.258288143,192558.782612765,26.25,55.3,FALSE
3004640,2018-11-29 11:14:10,0.59179909,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.185418860287,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.534,118489.420029219,192557.379966286,26.25,55.3,FALSE
3004646,2018-11-29 11:14:11,0.60785451,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.253443442434,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.532,118484.719932991,192548.538707418,26.25,55.3,FALSE
3004660,2018-11-29 11:14:12,0.62470015,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.219086349038,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.532,118483.522165389,192551.741894806,26.25,55.3,FALSE
3004664,2018-11-29 11:14:13,0.641542856666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.134931443952,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.537,118474.940935184,192552.63322833,26.25,55.3,FALSE
3004678,2018-11-29 11:14:14,0.65837009,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.269601404441,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.529,118482.322886335,192552.622279775,26.25,55.3,FALSE
3004686,2018-11-29 11:14:15,0.675296835,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.184732925258,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.532,118474.870202634,192553.993907656,26.25,55.3,FALSE
3004697,2018-11-29 11:14:16,0.691289776666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.168587879544,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.535,118471.861852001,192540.633021284,26.25,55.3,FALSE
3004707,2018-11-29 11:14:17,0.708168556666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.235922857594,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.531,118478.801350788,192543.238482969,26.25,55.3,FALSE
3004714,2018-11-29 11:14:18,0.725060443333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.252761209303,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.53,118474.862987963,192551.724258125,26.25,55.3,FALSE
3004724,2018-11-29 11:14:19,0.741894706666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.269601404441,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.529,118472.497227681,192546.498112383,26.25,55.3,FALSE
3004728,2018-11-29 11:14:20,0.757874181666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.269601404441,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.529,118466.727033229,192541.500592822,26.25,55.3,FALSE
3004738,2018-11-29 11:14:21,0.774746133333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.185418860287,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.534,118464.385486014,192542.97256799,26.25,55.3,FALSE
3004753,2018-11-29 11:14:22,0.791582125,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.201566434966,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.531,118465.256142555,192539.044841542,26.25,55.3,FALSE
3004756,2018-11-29 11:14:23,0.80847986,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.219086349038,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.532,118457.565402263,192538.49906728,26.25,55.3,FALSE
3004768,2018-11-29 11:14:24,0.824563553333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.253443442434,μmol/L,26.4898297635127,°C,1013,hPa,Humid,36,0,0,21.532,118456.59130252,192543.70198315,26.25,55.3,FALSE
3004777,2018-11-29 11:14:25,0.841424906666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.167901258102,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.533,118450.938492623,192549.962122781,26.25,55.3,FALSE
3004783,2018-11-29 11:14:26,0.858265771666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.20225168336,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.533,118453.915182272,192530.539954365,26.25,55.3,FALSE
3004793,2018-11-29 11:14:27,0.875211005,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.134931443952,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.537,118450.854198766,192540.283369903,26.25,55.3,FALSE
3004803,2018-11-29 11:14:28,0.891211033333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.2184017875,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.53,118449.9164936,192534.400915415,26.25,55.3,FALSE
3004815,2018-11-29 11:14:29,0.90807788,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.168587879544,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.535,118449.765952018,192550.622234649,26.25,55.3,FALSE
3004822,2018-11-29 11:14:30,0.924878148333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.184732925258,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.532,118454.391443655,192544.569063381,26.25,55.3,FALSE
3004833,2018-11-29 11:14:31,0.94172448,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.201566434966,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.531,118450.069250438,192532.806231755,26.25,55.3,FALSE
3004840,2018-11-29 11:14:32,0.958585973333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.151071433224,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.534,118444.916511338,192539.105448277,26.25,55.3,FALSE
3004849,2018-11-29 11:14:33,0.974653135,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.167901258102,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.533,118442.283778943,192527.428179641,26.25,55.3,FALSE
3004859,2018-11-29 11:14:34,0.99145371,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.201566434966,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.531,118442.218363782,192528.872367287,26.25,55.3,FALSE
3004869,2018-11-29 11:14:35,1.00838150666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.20225168336,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.533,118441.617601607,192531.915449894,26.25,55.3,FALSE
3004878,2018-11-29 11:14:36,1.02529732,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.133554498644,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.533,118439.168043903,192526.989268153,26.25,55.3,FALSE
3004886,2018-11-29 11:14:37,1.04131321166667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.167213678769,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.531,118434.111562072,192526.260980598,26.25,55.3,FALSE
3004892,2018-11-29 11:14:38,1.05822244333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.134243450349,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.535,118435.977217692,192528.804264615,26.25,55.3,FALSE
3004900,2018-11-29 11:14:39,1.07511041,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.235238983136,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.529,118433.170327811,192523.147413924,26.25,55.3,FALSE
3004913,2018-11-29 11:14:40,1.0919377,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.184046032444,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.53,118427.27558333,192524.153717844,26.25,55.3,FALSE
3004921,2018-11-29 11:14:41,1.10795102,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.183358178503,μmol/L,26.5142172506603,°C,1013,hPa,Humid,36,0,0,21.528,118432.232167522,192516.128883479,26.25,55.3,FALSE
3004930,2018-11-29 11:14:42,1.12477299166667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.200880228893,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.529,118425.890528019,192517.544931122,26.25,55.3,FALSE
3004938,2018-11-29 11:14:43,1.14172972833333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.2184017875,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.53,118423.537546786,192524.31692027,26.25,55.3,FALSE
3004947,2018-11-29 11:14:44,1.15862707833333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.167901258102,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.533,118430.788460495,192519.705302183,26.25,55.3,FALSE
3004959,2018-11-29 11:14:45,1.17473357166667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.150383167594,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.532,118426.526723843,192523.534342059,26.25,55.3,FALSE
3004964,2018-11-29 11:14:46,1.191601325,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.184046032444,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.53,118426.966804692,192517.880118473,26.25,55.3,FALSE
3004977,2018-11-29 11:14:47,1.20845373166667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.133554498644,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.533,118424.6464214,192518.651899572,26.25,55.3,FALSE
3004982,2018-11-29 11:14:48,1.22528833333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.167213678769,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.531,118418.724181327,192510.194559298,26.25,55.3,FALSE
3004992,2018-11-29 11:14:49,1.24127933,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.252078022147,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.528,118415.493967317,192512.842170761,26.25,55.3,FALSE
3005000,2018-11-29 11:14:50,1.25818792666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.184732925258,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.532,118422.157773607,192519.736351955,26.25,55.3,FALSE
3005006,2018-11-29 11:14:51,1.27505249666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.20225168336,μmol/L,26.495926618692,°C,1013,hPa,Humid,36,0,0,21.533,118417.144329429,192513.7939839,26.25,55.3,FALSE
3005017,2018-11-29 11:14:52,1.29189305833333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.150383167594,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.532,118420.869864712,192517.11861819,26.25,55.3,FALSE
3005025,2018-11-29 11:14:53,1.30794804333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.184046032444,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.53,118413.907124083,192518.463030179,26.25,55.3,FALSE
3005037,2018-11-29 11:14:54,1.3248281,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.217716268391,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.528,118418.355137616,192504.49475065,26.25,55.3,FALSE
3005043,2018-11-29 11:14:55,1.341736355,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.167213678769,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.531,118420.951244464,192521.330719817,26.25,55.3,FALSE
3005055,2018-11-29 11:14:56,1.35859763333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.150383167594,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.532,118414.941470995,192508.673122803,26.25,55.3,FALSE
3005062,2018-11-29 11:14:57,1.374578795,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.234554151212,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.527,118417.927560813,192517.152578585,26.25,55.3,FALSE
3005073,2018-11-29 11:14:58,1.39148645333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.201566434966,μmol/L,26.502023484943,°C,1013,hPa,Humid,36,0,0,21.531,118412.155009262,192513.708229732,26.25,55.3,FALSE
3005082,2018-11-29 11:14:59,1.40838324333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.184046032444,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.53,118407.948999653,192511.300238151,26.25,55.3,FALSE
3005090,2018-11-29 11:15:00,1.42526815833333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.183358178503,μmol/L,26.5142172506603,°C,1013,hPa,Humid,36,0,0,21.528,118414.340086471,192514.583648823,26.25,55.3,FALSE
3005100,2018-11-29 11:15:01,1.44124347333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.183358178503,μmol/L,26.5142172506603,°C,1013,hPa,Humid,36,0,0,21.528,118408.27902426,192509.210205243,26.25,55.3,FALSE
3005111,2018-11-29 11:15:02,1.45813543,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.200880228893,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.529,118403.794294457,192511.399998946,26.25,55.3,FALSE
3005119,2018-11-29 11:15:03,1.47493058166667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.166525138203,μmol/L,26.5142172506603,°C,1013,hPa,Humid,36,0,0,21.529,118404.659966687,192512.710055763,26.25,55.3,FALSE
3005123,2018-11-29 11:15:04,1.49187282,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.150383167594,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.532,118406.1239254,192500.772999076,26.25,55.3,FALSE
3005135,2018-11-29 11:15:05,1.50784401833333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.200193061799,μmol/L,26.5142172506603,°C,1013,hPa,Humid,36,0,0,21.527,118409.150129171,192505.663908824,26.25,55.3,FALSE
3005147,2018-11-29 11:15:06,1.524700835,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.099211401479,μmol/L,26.5142172506603,°C,1013,hPa,Humid,36,0,0,21.533,118405.247282549,192501.784448039,26.25,55.3,FALSE
3005153,2018-11-29 11:15:07,1.54153465166667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.132173707573,μmol/L,26.5203141501265,°C,1013,hPa,Humid,36,0,0,21.529,118405.048978717,192507.821621716,26.25,55.3,FALSE
3005165,2018-11-29 11:15:08,1.55838246833333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.183358178503,μmol/L,26.5142172506603,°C,1013,hPa,Humid,36,0,0,21.528,118402.819331481,192499.095188026,26.25,55.3,FALSE
3005175,2018-11-29 11:15:09,1.57522128666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.183358178503,μmol/L,26.5142172506603,°C,1013,hPa,Humid,36,0,0,21.528,118403.41527303,192505.722392388,26.25,55.3,FALSE
3005177,2018-11-29 11:15:10,1.59125908,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.149693940625,μmol/L,26.5142172506603,°C,1013,hPa,Humid,36,0,0,21.53,118399.67627598,192505.524775703,26.25,55.3,FALSE
3005188,2018-11-29 11:15:11,1.60826677833333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.184046032444,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.53,118400.740289023,192501.77536293,26.25,55.3,FALSE
3005202,2018-11-29 11:15:12,1.625093545,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.132173707573,μmol/L,26.5203141501265,°C,1013,hPa,Humid,36,0,0,21.529,118402.090482064,192499.997474483,26.25,55.3,FALSE
3005204,2018-11-29 11:15:13,1.64116637666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.166525138203,μmol/L,26.5142172506603,°C,1013,hPa,Humid,36,0,0,21.529,118398.171062331,192496.485248067,26.25,55.3,FALSE
3005214,2018-11-29 11:15:14,1.65809536166667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.133554498644,μmol/L,26.5081203622653,°C,1013,hPa,Humid,36,0,0,21.533,118393.506940769,192491.412748185,26.25,55.3,FALSE
3005228,2018-11-29 11:15:15,1.67496448166667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.132173707573,μmol/L,26.5203141501265,°C,1013,hPa,Humid,36,0,0,21.529,118396.006814108,192493.875244219,26.25,55.3,FALSE
3005238,2018-11-29 11:15:16,1.691829845,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.09851915165,μmol/L,26.5203141501265,°C,1013,hPa,Humid,36,0,0,21.531,118394.958580255,192501.58032712,26.25,55.3,FALSE
3005242,2018-11-29 11:15:17,1.70786503833333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.09851915165,μmol/L,26.5203141501265,°C,1013,hPa,Humid,36,0,0,21.531,118394.382902563,192496.080286532,26.25,55.3,FALSE
3005254,2018-11-29 11:15:18,1.72467753166667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.116037072537,μmol/L,26.5142172506603,°C,1013,hPa,Humid,36,0,0,21.532,118396.844969352,192497.63804771,26.25,55.3,FALSE
3005259,2018-11-29 11:15:19,1.74151261333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.09851915165,μmol/L,26.5203141501265,°C,1013,hPa,Humid,36,0,0,21.531,118392.055628284,192500.736269349,26.25,55.3,FALSE
3005268,2018-11-29 11:15:20,1.758422945,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.132864585495,μmol/L,26.5142172506603,°C,1013,hPa,Humid,36,0,0,21.531,118388.691459402,192502.174827813,26.25,55.3,FALSE
3005279,2018-11-29 11:15:21,1.77454987166667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.166525138203,μmol/L,26.5142172506603,°C,1013,hPa,Humid,36,0,0,21.529,118391.956509044,192497.624747969,26.25,55.3,FALSE
3005285,2018-11-29 11:15:22,1.79136107666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.097825933496,μmol/L,26.5264110606649,°C,1013,hPa,Humid,36,0,0,21.529,118393.099345488,192493.576705316,26.25,55.3,FALSE
3005300,2018-11-29 11:15:23,1.80826841333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.081000732716,μmol/L,26.5264110606649,°C,1013,hPa,Humid,36,0,0,21.53,118387.877100547,192495.487096759,26.25,55.3,FALSE
3005309,2018-11-29 11:15:24,1.82521715833333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.116037072537,μmol/L,26.5142172506603,°C,1013,hPa,Humid,36,0,0,21.532,118384.286200486,192492.645448614,26.25,55.3,FALSE
3005315,2018-11-29 11:15:25,1.84120577166667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,191.166525138203,μmol/L,26.5142172506603,°C,1013,hPa,Humid,36,0,0,21.529,118377.133580777,192491.061355333,26.25,55.3,FALSE
