Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3060814,2018-11-29 16:57:38,0,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.144577341125,μmol/L,23.5348614533441,°C,1012,hPa,Humid,36,0,0,23.994,123931.918833407,253503.752550234,26.25,50.3,FALSE
3060827,2018-11-29 16:57:39,0.02292662,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.115996085698,μmol/L,23.5348614533441,°C,1012,hPa,Humid,36,0,0,23.996,123917.085361748,253474.280491192,26.25,50.3,FALSE
3060830,2018-11-29 16:57:40,0.0392965566666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.17159553272,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.99,123904.660916763,253440.832935968,26.25,50.3,FALSE
3060841,2018-11-29 16:57:41,0.05618061,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.085849742156,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.996,123890.939436505,253419.873984332,26.25,50.3,FALSE
3060849,2018-11-29 16:57:42,0.0730368666666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.174733296312,μmol/L,23.5287302537467,°C,1012,hPa,Humid,36,0,0,23.994,123894.264255565,253415.903405379,26.25,50.3,FALSE
3060865,2018-11-29 16:57:43,0.089469275,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.057279196427,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.998,123880.455911111,253397.168004753,26.25,50.3,FALSE
3060866,2018-11-29 16:57:44,0.106344336666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.071563757989,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.997,123889.691157516,253390.086648219,26.25,50.3,FALSE
3060876,2018-11-29 16:57:45,0.123117121666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.173164290295,μmol/L,23.5348614533441,°C,1012,hPa,Humid,36,0,0,23.992,123879.062536369,253379.195743454,26.25,50.3,FALSE
3060888,2018-11-29 16:57:46,0.140038033333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.08742052246,μmol/L,23.5348614533441,°C,1012,hPa,Humid,36,0,0,23.998,123884.038105379,253394.723538187,26.25,50.3,FALSE
3060897,2018-11-29 16:57:47,0.15599749,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.085849742156,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.996,123880.030154572,253386.06159897,26.25,50.3,FALSE
3060908,2018-11-29 16:57:48,0.172786278333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.071563757989,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.997,123894.843702857,253380.288589597,26.25,50.3,FALSE
3060914,2018-11-29 16:57:49,0.189616835,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.057279196427,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.998,123901.66902562,253385.891948116,26.25,50.3,FALSE
3060926,2018-11-29 16:57:50,0.206581601666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.012861827452,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.999,123909.035196671,253388.713513416,26.25,50.3,FALSE
3060937,2018-11-29 16:57:51,0.223375525,OXY7 (PSt7-10),2018-06-27 09:56:49,default,169.970028465028,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,24.002,123905.618035294,253390.016592265,26.25,50.3,FALSE
3060944,2018-11-29 16:57:52,0.239335101666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.057279196427,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.998,123907.447918958,253377.755513649,26.25,50.3,FALSE
3060954,2018-11-29 16:57:53,0.256091055,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.028714340337,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,24,123906.464455478,253388.40656345,26.25,50.3,FALSE
3060956,2018-11-29 16:57:54,0.2729356,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.041424511914,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.997,123909.873042547,253379.838157767,26.25,50.3,FALSE
3060967,2018-11-29 16:57:55,0.28976686,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.012861827452,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.999,123909.775635981,253377.789215276,26.25,50.3,FALSE
3060975,2018-11-29 16:57:56,0.306638238333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.042996057274,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.999,123918.158459383,253383.782711239,26.25,50.3,FALSE
3060987,2018-11-29 16:57:57,0.322677163333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.028714340337,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,24,123913.745021915,253374.554361135,26.25,50.3,FALSE
3060995,2018-11-29 16:57:58,0.33956459,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.042996057274,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.999,123921.021018182,253374.914768335,26.25,50.3,FALSE
3061007,2018-11-29 16:57:59,0.35641381,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.027142458603,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.998,123924.978332872,253385.235210403,26.25,50.3,FALSE
3061011,2018-11-29 16:58:00,0.373364626666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.014434045422,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,24.001,123914.446097128,253370.724429239,26.25,50.3,FALSE
3061025,2018-11-29 16:58:01,0.389302045,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.073134874926,μmol/L,23.5348614533441,°C,1012,hPa,Humid,36,0,0,23.999,123921.183795846,253384.56676948,26.25,50.3,FALSE
3061034,2018-11-29 16:58:02,0.40615878,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.071563757989,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.997,123928.578613402,253382.761401727,26.25,50.3,FALSE
3061040,2018-11-29 16:58:03,0.42296081,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.014434045422,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,24.001,123922.297923504,253368.350117453,26.25,50.3,FALSE
3061048,2018-11-29 16:58:04,0.439866523333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.071563757989,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.997,123924.516076748,253363.008881685,26.25,50.3,FALSE
3061059,2018-11-29 16:58:05,0.456638936666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.028714340337,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,24,123918.2331237,253378.000803769,26.25,50.3,FALSE
3061066,2018-11-29 16:58:06,0.47263008,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.042996057274,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.999,123918.469548487,253364.028564352,26.25,50.3,FALSE
3061074,2018-11-29 16:58:07,0.489457905,OXY7 (PSt7-10),2018-06-27 09:56:49,default,169.998582618269,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,24,123930.10892375,253380.287617802,26.25,50.3,FALSE
3061085,2018-11-29 16:58:08,0.506324821666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.000155172335,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,24.002,123930.139350472,253382.337396212,26.25,50.3,FALSE
3061095,2018-11-29 16:58:09,0.523124578333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.028714340337,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,24,123930.562479532,253378.924391952,26.25,50.3,FALSE
3061101,2018-11-29 16:58:10,0.539979123333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,169.970028465028,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,24.002,123934.000301421,253371.622380465,26.25,50.3,FALSE
3061114,2018-11-29 16:58:11,0.55599963,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.012861827452,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.999,123934.510995251,253374.011955482,26.25,50.3,FALSE
3061124,2018-11-29 16:58:12,0.572812155,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.085849742156,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.996,123933.240619567,253362.445000064,26.25,50.3,FALSE
3061133,2018-11-29 16:58:13,0.589606771666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,169.998582618269,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,24,123930.603933269,253372.629902425,26.25,50.3,FALSE
3061141,2018-11-29 16:58:14,0.606406768333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.028714340337,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,24,123927.146104599,253358.122797281,26.25,50.3,FALSE
3061150,2018-11-29 16:58:15,0.623214418333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.042996057274,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.999,123929.929499657,253367.585242904,26.25,50.3,FALSE
3061156,2018-11-29 16:58:16,0.640030525,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.027142458603,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.998,123939.865948174,253378.353165866,26.25,50.3,FALSE
3061168,2018-11-29 16:58:17,0.656648188333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.000155172335,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,24.002,123937.938480212,253365.8382849,26.25,50.3,FALSE
3061178,2018-11-29 16:58:18,0.672596456666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,169.998582618269,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,24,123943.130644199,253363.376350765,26.25,50.3,FALSE
3061182,2018-11-29 16:58:19,0.689672383333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.08742052246,μmol/L,23.5348614533441,°C,1012,hPa,Humid,36,0,0,23.998,123933.137901905,253351.240729806,26.25,50.3,FALSE
3061197,2018-11-29 16:58:20,0.706010786666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.012861827452,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.999,123939.269126221,253365.037236191,26.25,50.3,FALSE
3061207,2018-11-29 16:58:21,0.72320547,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.000155172335,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,24.002,123946.978431351,253370.618040008,26.25,50.3,FALSE
3061208,2018-11-29 16:58:22,0.740000853333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.08742052246,μmol/L,23.5348614533441,°C,1012,hPa,Humid,36,0,0,23.998,123939.664293302,253351.347382017,26.25,50.3,FALSE
3061219,2018-11-29 16:58:23,0.756049445,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.057279196427,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.998,123932.046712136,253350.333276641,26.25,50.3,FALSE
3061228,2018-11-29 16:58:24,0.773342683333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.028714340337,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,24,123944.392608199,253361.729696842,26.25,50.3,FALSE
3061237,2018-11-29 16:58:25,0.789309093333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.012861827452,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.999,123940.28046944,253343.524589091,26.25,50.3,FALSE
3061246,2018-11-29 16:58:26,0.806120865,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.028714340337,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,24,123934.201185847,253354.975608651,26.25,50.3,FALSE
3061256,2018-11-29 16:58:27,0.82294475,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.057279196427,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.998,123944.851638013,253367.097493481,26.25,50.3,FALSE
3061265,2018-11-29 16:58:28,0.839781976666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.012861827452,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.999,123945.31118026,253360.293348139,26.25,50.3,FALSE
3061274,2018-11-29 16:58:29,0.85656928,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.055707987581,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.996,123936.189525355,253345.913674209,26.25,50.3,FALSE
3061286,2018-11-29 16:58:30,0.873362191666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.027142458603,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.998,123933.438865703,253353.059138469,26.25,50.3,FALSE
3061293,2018-11-29 16:58:31,0.889330068333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.041424511914,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.997,123930.228633454,253347.899326285,26.25,50.3,FALSE
3061303,2018-11-29 16:58:32,0.9061086,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.071563757989,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.997,123927.686869739,253346.143378187,26.25,50.3,FALSE
3061312,2018-11-29 16:58:33,0.923138196666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.085849742156,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.996,123934.807249441,253350.282220684,26.25,50.3,FALSE
3061318,2018-11-29 16:58:34,0.940038095,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.041424511914,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.997,123933.298657391,253345.938761978,26.25,50.3,FALSE
3061325,2018-11-29 16:58:35,0.956032095,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.069992885797,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.995,123932.487936409,253349.674863154,26.25,50.3,FALSE
3061334,2018-11-29 16:58:36,0.972858718333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.028714340337,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,24,123934.524036921,253342.801958388,26.25,50.3,FALSE
3061344,2018-11-29 16:58:37,0.989688128333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.115996085698,μmol/L,23.5348614533441,°C,1012,hPa,Humid,36,0,0,23.996,123928.068000626,253343.326053705,26.25,50.3,FALSE
3061355,2018-11-29 16:58:38,1.00650046,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.027142458603,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.998,123933.053318135,253344.574805013,26.25,50.3,FALSE
3061368,2018-11-29 16:58:39,1.02328541,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.041424511914,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.997,123933.513575847,253351.972319157,26.25,50.3,FALSE
3061373,2018-11-29 16:58:40,1.03927394666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.055707987581,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.996,123931.685356308,253351.931303152,26.25,50.3,FALSE
3061387,2018-11-29 16:58:41,1.05609086,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.084279206757,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.994,123928.842442961,253349.508755392,26.25,50.3,FALSE
3061395,2018-11-29 16:58:42,1.07289188833333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.100137149121,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.995,123932.501370355,253358.753475127,26.25,50.3,FALSE
3061398,2018-11-29 16:58:43,1.08972475333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.100137149121,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.995,123922.879755991,253330.785527684,26.25,50.3,FALSE
3061411,2018-11-29 16:58:44,1.10659752333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.100137149121,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.995,123916.985835891,253340.423509767,26.25,50.3,FALSE
3061415,2018-11-29 16:58:45,1.12257261166667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.069992885797,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.995,123923.443610972,253333.787858822,26.25,50.3,FALSE
3061426,2018-11-29 16:58:46,1.13935332,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.114425979079,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.994,123921.741517622,253336.331218936,26.25,50.3,FALSE
3061435,2018-11-29 16:58:47,1.15614425,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.069992885797,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.995,123916.950558874,253331.241090806,26.25,50.3,FALSE
3061447,2018-11-29 16:58:48,1.17291353,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.17159553272,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.99,123914.902183171,253331.728759893,26.25,50.3,FALSE
3061455,2018-11-29 16:58:49,1.18971508666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.112856117685,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.992,123908.929884253,253329.881971875,26.25,50.3,FALSE
3061462,2018-11-29 16:58:50,1.20649246166667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.112856117685,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.992,123914.617770057,253347.013028892,26.25,50.3,FALSE
3061472,2018-11-29 16:58:51,1.22261004833333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.084279206757,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.994,123918.358908867,253335.565602767,26.25,50.3,FALSE
3061481,2018-11-29 16:58:52,1.239418315,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.084279206757,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.994,123916.667351876,253327.472328334,26.25,50.3,FALSE
3061492,2018-11-29 16:58:53,1.25621972166667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.128716232223,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.993,123914.606191096,253325.370248678,26.25,50.3,FALSE
3061498,2018-11-29 16:58:54,1.27300679833333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.141438721918,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.99,123907.575593056,253327.192759486,26.25,50.3,FALSE
3061508,2018-11-29 16:58:55,1.28979207666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.18745990052,μmol/L,23.5348614533441,°C,1012,hPa,Humid,36,0,0,23.991,123913.314092967,253324.135725223,26.25,50.3,FALSE
3061522,2018-11-29 16:58:56,1.30659090833333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.141438721918,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.99,123900.614392499,253342.078148166,26.25,50.3,FALSE
3061523,2018-11-29 16:58:57,1.32265981333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.15573215951,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.989,123907.925961689,253327.546216424,26.25,50.3,FALSE
3061538,2018-11-29 16:58:58,1.33945336,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.170027021012,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.988,123900.32268464,253333.392653946,26.25,50.3,FALSE
3061544,2018-11-29 16:58:59,1.35631331833333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.184323306617,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.987,123897.823859229,253330.211399176,26.25,50.3,FALSE
3061552,2018-11-29 16:59:00,1.37312912833333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.184323306617,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.987,123889.696934129,253320.715467272,26.25,50.3,FALSE
3061565,2018-11-29 16:59:01,1.38991565833333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.200188852547,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.988,123894.200218268,253323.761659718,26.25,50.3,FALSE
3061574,2018-11-29 16:59:02,1.4060201,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.170027021012,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.988,123891.460187064,253326.055481413,26.25,50.3,FALSE
3061584,2018-11-29 16:59:03,1.42291870833333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.243089515422,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.985,123891.422227113,253308.933865327,26.25,50.3,FALSE
3061593,2018-11-29 16:59:04,1.43979349833333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.168458752614,μmol/L,23.5532551192578,°C,1012,hPa,Humid,36,0,0,23.986,123893.356238953,253324.124470865,26.25,50.3,FALSE
3061603,2018-11-29 16:59:05,1.45666689666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.168458752614,μmol/L,23.5532551192578,°C,1012,hPa,Humid,36,0,0,23.986,123892.691287016,253313.722459024,26.25,50.3,FALSE
3061608,2018-11-29 16:59:06,1.47265035,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.198621016521,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.986,123893.635214051,253326.115933923,26.25,50.3,FALSE
3061618,2018-11-29 16:59:07,1.48943560833333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.184323306617,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.987,123889.606594256,253308.726675911,26.25,50.3,FALSE
3061624,2018-11-29 16:59:08,1.506330025,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.170027021012,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.988,123882.333591218,253317.685793409,26.25,50.3,FALSE
3061635,2018-11-29 16:59:09,1.52314630166667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.241522693966,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.983,123873.529379185,253323.982432011,26.25,50.3,FALSE
3061643,2018-11-29 16:59:10,1.53994203333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.22722071,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.984,123878.615097147,253312.643511247,26.25,50.3,FALSE
3061652,2018-11-29 16:59:11,1.55593657333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.239956116621,μmol/L,23.5532551192578,°C,1012,hPa,Humid,36,0,0,23.981,123878.447313118,253318.823088178,26.25,50.3,FALSE
3061662,2018-11-29 16:59:12,1.57271081333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.271697081697,μmol/L,23.5409926641278,°C,1012,hPa,Humid,36,0,0,23.983,123879.961800579,253329.039754841,26.25,50.3,FALSE
3061668,2018-11-29 16:59:13,1.58948023833333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.22722071,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.984,123874.32751009,253317.739225664,26.25,50.3,FALSE
3061680,2018-11-29 16:59:14,1.606296975,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.168458752614,μmol/L,23.5532551192578,°C,1012,hPa,Humid,36,0,0,23.986,123884.876251029,253338.355559512,26.25,50.3,FALSE
3061689,2018-11-29 16:59:15,1.62315204833333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.22722071,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.984,123880.989090177,253321.951798827,26.25,50.3,FALSE
3061701,2018-11-29 16:59:16,1.63996558833333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.211352896731,μmol/L,23.5532551192578,°C,1012,hPa,Humid,36,0,0,23.983,123867.445599148,253311.153630695,26.25,50.3,FALSE
3061706,2018-11-29 16:59:17,1.65596784333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.211352896731,μmol/L,23.5532551192578,°C,1012,hPa,Humid,36,0,0,23.983,123868.940053127,253316.321895392,26.25,50.3,FALSE
3061713,2018-11-29 16:59:18,1.67278086,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.255826103008,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.982,123872.992632377,253320.836888696,26.25,50.3,FALSE
3061725,2018-11-29 16:59:19,1.68959153666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.27013093732,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.981,123864.760837535,253318.704517806,26.25,50.3,FALSE
3061735,2018-11-29 16:59:20,1.70642254,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.209785883765,μmol/L,23.5593863636032,°C,1012,hPa,Humid,36,0,0,23.981,123862.198120557,253309.383049458,26.25,50.3,FALSE
3061747,2018-11-29 16:59:21,1.72328741666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.284437197099,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.98,123863.992092233,253331.423592955,26.25,50.3,FALSE
3061748,2018-11-29 16:59:22,1.739259705,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.284437197099,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.98,123863.061474507,253321.40423445,26.25,50.3,FALSE
3061758,2018-11-29 16:59:23,1.75610415666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.298744882537,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.979,123864.057669653,253313.29481328,26.25,50.3,FALSE
3061768,2018-11-29 16:59:24,1.77293178666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.327364531174,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.977,123859.25117014,253317.387921654,26.25,50.3,FALSE
3061778,2018-11-29 16:59:25,1.78972273333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.313053993831,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.978,123864.037164556,253313.627104337,26.25,50.3,FALSE
3061791,2018-11-29 16:59:26,1.80649842666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.298744882537,μmol/L,23.5471238860996,°C,1012,hPa,Humid,36,0,0,23.979,123844.622329361,253318.275477583,26.25,50.3,FALSE
3061797,2018-11-29 16:59:27,1.82331421333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.311489111039,μmol/L,23.5532551192578,°C,1012,hPa,Humid,36,0,0,23.976,123855.271913803,253310.300637692,26.25,50.3,FALSE
3061802,2018-11-29 16:59:28,1.83928244166667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,170.325799987713,μmol/L,23.5532551192578,°C,1012,hPa,Humid,36,0,0,23.975,123862.596690191,253309.460494674,26.25,50.3,FALSE
